Team,AdjEM,AdjOE,AdjDE
Robert Morris,-12.599999999999994,100.2,112.8
Western Michigan,-12.799999999999997,98.7,111.5
McNeese St.,-12.800000000000011,98.1,110.9
Maryland Eastern Shore,-12.0,91.8,103.8
North Carolina Central,-12.699999999999989,95.9,108.6
South Carolina St.,-12.5,92.7,105.2
St. Francis NY,-13.099999999999994,95.9,109.0
UTSA,-13.0,94.9,107.9
Sacramento St.,-13.299999999999997,96.4,109.7
Lafayette,-13.599999999999994,98.4,112.0
Little Rock,-13.700000000000003,97.6,111.3
UT Rio Grande Valley,-14.199999999999989,99.4,113.6
Coppin St.,-13.200000000000003,91.1,104.3
Grambling St.,-13.800000000000011,94.1,107.9
Central Michigan,-14.200000000000003,96.2,110.4
St. Francis PA,-14.299999999999997,95.4,109.7
Hampton,-14.0,92.1,106.1
Sacred Heart,-15.599999999999994,101.4,117.0
Alabama St.,-14.900000000000006,96.8,111.7
Evansville,-14.299999999999997,92.9,107.2
Bucknell,-15.700000000000003,101.5,117.2
Northwestern St.,-15.299999999999997,98.9,114.2
Southern Miss,-15.299999999999997,96.2,111.5
Idaho,-16.200000000000003,99.0,115.2
Idaho St.,-16.299999999999997,95.8,112.1
Green Bay,-15.799999999999997,93.2,109.0
Milwaukee,-15.800000000000011,93.1,108.9
William & Mary,-15.599999999999994,91.7,107.3
Cal St. Northridge,-16.299999999999997,95.2,111.5
Alabama A&M,-14.900000000000006,86.8,101.7
Bethune Cookman,-16.200000000000003,93.7,109.9
Houston Baptist,-16.60000000000001,96.6,113.2
Northern Arizona,-16.599999999999994,95.4,112.0
American,-16.5,94.5,111.0
Chicago St.,-17.10000000000001,97.6,114.7
North Dakota,-18.400000000000006,97.5,115.9
NJIT,-17.299999999999997,90.5,107.8
Fairleigh Dickinson,-18.599999999999994,95.9,114.5
Nebraska Omaha,-19.299999999999997,97.8,117.1
Charleston Southern,-18.69999999999999,93.9,112.6
Lamar,-19.299999999999997,92.2,111.5
Holy Cross,-20.099999999999994,92.0,112.1
Incarnate Word,-21.700000000000003,95.3,117.0
Arkansas Pine Bluff,-22.299999999999997,97.9,120.2
Maine,-21.39999999999999,93.4,114.8
Mississippi Valley St.,-21.900000000000006,94.1,116.0
Columbia,-22.299999999999997,93.0,115.3
Central Connecticut,-22.0,91.0,113.0
Delaware St.,-23.400000000000006,87.5,110.9
Eastern Illinois,-24.799999999999997,84.3,109.1
IUPUI,-29.0,81.6,110.6
