Full Team Name,University,CoverNumber,PomeroyName,TRankName,OldTRankName,UpdatedTRankName,SportsReference,RevisedSportsReference,,
Lindenwood Lions,Lindenwood,,Lindenwood,Lindenwood,Lindenwood,Lindenwood,Lindenwood,Lindenwood,,
Lipscomb Bisons,Lipscomb,,Lipscomb 15,Lipscomb 15,Lipscomb,Lipscomb,Lipscomb,Lipscomb,,1
Little Rock Trojans,Little Rock,,Little Rock,Little Rock,Little Rock,Little Rock,Little Rock,Little Rock,,1
LIU Sharks,LIU Brooklyn,,LIU,LIU Brooklyn 16,LIU Brooklyn,LIU Brooklyn,LIU,Long Island University,,0
Long Beach St Beach,Long Beach St.,,Long Beach St.,Long Beach St.,Long Beach St.,Long Beach St.,Long Beach State,Long Beach State,,0
Longwood Lancers,Longwood,,Longwood,Longwood,Longwood,Longwood,Longwood,Longwood,,1
UL Monroe Warhawks,Louisiana Monroe,,Louisiana Monroe,Louisiana Monroe,Louisiana Monroe,Louisiana Monroe,Louisiana-Monroe,Louisiana-Monroe,,1
Louisiana State Tigers,LSU,,LSU,LSU,LSU,LSU,LSU,Louisiana State,,0
Louisiana Tech Bulldogs,Louisiana Tech,,Louisiana Tech,Louisiana Tech,Louisiana Tech,Louisiana Tech,Louisiana Tech,Louisiana Tech,,1
Louisville Cardinals,Louisville,2496,Louisville,Louisville,Louisville,Louisville,Louisville,Louisville,,1
Loyola Marymount Lions,Loyola Marymount,,Loyola Marymount,Loyola Marymount,Loyola Marymount,Loyola Marymount,Loyola Marymount,Loyola Marymount,,1
Loyola Chicago Ramblers,Loyola Chicago,,Loyola Chicago 11,Loyola Chicago 11,Loyola Chicago,Loyola Chicago,Loyola (IL),Loyola (IL),,1
Loyola Md Greyhounds,Loyola MD,,Loyola MD,Loyola MD,Loyola MD,Loyola MD,Loyola (MD),Loyola (MD),,1
Maine Black Bears,Maine,2185,Maine,Maine,Maine,Maine,Maine,Maine,,1
Manhattan Jaspers,Manhattan,,Manhattan,Manhattan,Manhattan,Manhattan,Manhattan,Manhattan,,1
Marist Red Foxes,Marist,,Marist,Marist,Marist,Marist,Marist,Marist,,1
Marquette Golden Eagles,Marquette,2406,Marquette,Marquette,Marquette,Marquette,Marquette,Marquette,,1
Marshall Thundering Herd,Marshall,,Marshall 13,Marshall 13,Marshall,Marshall,Marshall,Marshall,,1
Maryland Terrapins,Maryland,,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,,1
Maryland Eastern Shore Hawks,Maryland Eastern Shore,2174,Maryland Eastern Shore,Maryland Eastern Shore,Maryland Eastern Shore,Maryland Eastern Shore,Maryland-Eastern Shore,Maryland-Eastern Shore,,1
Massachusetts Minutemen,Massachusetts,,Massachusetts,Massachusetts,Massachusetts,Massachusetts,UMass,Massachusetts,,0
Massachusetts Lowell River Hawks,UMass Lowell,665710,UMass Lowell,UMass Lowell,UMass Lowell,UMass Lowell,UMass-Lowell,Massachusetts-Lowell,,0
McNeese St Cowboys,McNeese St.,,McNeese St.,McNeese St.,McNeese St.,McNeese St.,McNeese State,McNeese State,,1
UMBC Retrievers,UMBC,2411,UMBC 16,UMBC 16,UMBC,UMBC,UMBC,Maryland-Baltimore County,,0
Memphis Tigers,Memphis,2204,Memphis,Memphis,Memphis,Memphis,Memphis,Memphis,,1
Merrimack Warriors,Merrimack,,Merrimack,Merrimack,Merrimack,Merrimack,Merrimack,Merrimack,,1
Mercer Bears,Mercer,,Mercer,Mercer,Mercer,Mercer,Mercer,Mercer,,1
Miami OH RedHawks,Miami OH,,Miami OH,Miami OH,Miami OH,Miami OH,Miami (OH),Miami (OH),,1
Miami Hurricanes,Miami FL,2494,Miami FL 6,Miami FL 6,Miami FL,Miami FL,Miami (FL),Miami (FL),,1
Michigan Wolverines,Michigan,2323,Michigan 3,Michigan 3,Michigan,Michigan,Michigan,Michigan,,1
Michigan St Spartans,Michigan St.,2180,Michigan St. 3,Michigan St. 3,Michigan St.,Michigan St.,Michigan State,Michigan State,,1
Middle Tennessee St Blue Raiders,Middle Tennessee,,Middle Tennessee,Middle Tennessee,Middle Tennessee,Middle Tennessee,Middle Tennessee,Middle Tennessee,,1
Minnesota Golden Gophers,Minnesota,2412,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,,1
Mississippi Rebels,Mississippi,,Mississippi,Mississippi,Mississippi,Mississippi,Ole Miss,Mississippi,,0
Mississippi State Bulldogs,Mississippi St.,,Mississippi St.,Mississippi St.,Mississippi St.,Mississippi St.,Mississippi State,Mississippi State,,1
Mississippi Valley State Delta Devils,Mississippi Valley St.,,Mississippi Valley St.,Mississippi Valley St.,Mississippi Valley St.,Mississippi Valley St.,Mississippi Valley State,Mississippi Valley State,,1
Missouri Tigers,Missouri,,Missouri 8,Missouri 8,Missouri,Missouri,Missouri,Missouri,,1
Missouri St Bears,Missouri St.,,Missouri St.,Missouri St.,Missouri St.,Missouri St.,Missouri State,Missouri State,,1
Monmouth-NJ Hawks,Monmouth,,Monmouth,Monmouth,Monmouth,Monmouth,Monmouth,Monmouth,,1
Montana Grizzlies,Montana,,Montana 14,Montana 14,Montana,Montana,Montana,Montana,,1
Montana St Bobcats,Montana St.,,Montana St.,Montana St.,Montana St.,Montana St.,Montana State,Montana State,,1
Morehead St Eagles,Morehead St.,,Morehead St.,Morehead St.,Morehead St.,Morehead St.,Morehead State,Morehead State,,1
Morgan St Bears,Morgan St.,,Morgan St.,Morgan St.,Morgan St.,Morgan St.,Morgan State,Morgan State,,1
Mount St Marys Mountaineers,Mount St. Mary%27s,,Mount St. Mary's,Mount St. Mary's,Mount St. Mary's,Mount St. Mary's,Mount St. Mary's,Mount St. Mary's,,1
Murray St Racers,Murray St.,,Murray St. 12,Murray St. 12,Murray St.,Murray St.,Murray State,Murray State,,1
Navy Midshipmen,Navy,,Navy,Navy,Navy,Navy,Navy,Navy,,1
NC State Wolfpack,North Carolina St.,,N.C. State,North Carolina St.,North Carolina St.,North Carolina St.,NC State,NC State,,1
UNC Asheville Bulldogs,UNC Asheville,,UNC Asheville,UNC Asheville,UNC Asheville,UNC Asheville,UNC Asheville,UNC Asheville,,1
UNC Greensboro Spartans,UNC Greensboro,,UNC Greensboro 13,UNC Greensboro 13,UNC Greensboro,UNC Greensboro,UNC Greensboro,UNC Greensboro,,1
UNC Wilmington Seahawks,UNC Wilmington,,UNC Wilmington,UNC Wilmington,UNC Wilmington,UNC Wilmington,UNC Wilmington,UNC Wilmington,,1
Nebraska Cornhuskers,Nebraska,,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,,1
Nebraska Omaha Mavericks,Nebraska Omaha,2546,Nebraska Omaha,Nebraska Omaha,Nebraska Omaha,Nebraska Omaha,Omaha,Omaha,,1
Nevada Wolf Pack,Nevada,,Nevada 7,Nevada 7,Nevada,Nevada,Nevada,Nevada,,1
New Hampshire Wildcats,New Hampshire,2286,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,,1
NJIT Highlanders,NJIT,,NJIT,NJIT,NJIT,NJIT,NJIT,NJIT,,1
New Mexico Lobos,New Mexico,,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,,1
New Mexico St Aggies,New Mexico St.,,New Mexico St. 12,New Mexico St. 12,New Mexico St.,New Mexico St.,New Mexico State,New Mexico State,,1
New Orleans Privateers,New Orleans,,New Orleans,New Orleans,New Orleans,New Orleans,New Orleans,New Orleans,,1
Niagara Purple Eagles,Niagara,,Niagara,Niagara,Niagara,Niagara,Niagara,Niagara,,1
Nicholls State Colonels,Nicholls St.,,Nicholls St.,Nicholls St.,Nicholls St.,Nicholls St.,Nicholls State,Nicholls State,,1
North Carolina AT Aggies,North Carolina A%26T,,North Carolina A&T,North Carolina A&T,North Carolina A&T,North Carolina A&T,North Carolina A&T,North Carolina A&T,,1
Norfolk State Spartans,Norfolk St.,,Norfolk St.,Norfolk St.,Norfolk St.,Norfolk St.,Norfolk State,Norfolk State,,1
North Alabama Lions,North Alabama,North Alabama,North Alabama,North Alabama,North Alabama,North Alabama,North Alabama,North Alabama,,1
North Carolina Tar Heels,North Carolina,2266,North Carolina 2,North Carolina 2,North Carolina,North Carolina,UNC,North Carolina,,0
North Carolina Central Eagles,North Carolina Central,,North Carolina Central 16,North Carolina Central 16,North Carolina Central,North Carolina Central,North Carolina Central,North Carolina Central,,1
