Full Team Name,University,CoverNumber,PomeroyName,TRankName,OldTRankName,UpdatedTRankName,SportsReference,RevisedSportsReference,FanDuel,BracketMatrix,TeamID
Purdue Fort Wayne Mastodons,Fort Wayne,,Purdue Fort Wayne,Fort Wayne,Fort Wayne,Fort Wayne,Purdue-Fort Wayne,Purdue-Fort Wayne,Fort Wayne Mastodons,Purdue-Fort Wayne,128
Jackson State Tigers,Jackson St.,,Jackson St.,Jackson St.,Jackson St.,Jackson St.,Jackson State,Jackson State,Jackson St Tigers,Jackson St.,129
Jacksonville Dolphins,Jacksonville,,Jacksonville,Jacksonville,Jacksonville,Jacksonville,Jacksonville,Jacksonville,Jacksonville Dolphins,Jacksonville,130
Jacksonville St Gamecocks,Jacksonville St.,,Jacksonville St.,Jacksonville St.,Jacksonville St.,Jacksonville St.,Jacksonville State,Jacksonville State,Jacksonville St Gamecocks,Jacksonville St.,131
James Madison Dukes,James Madison,,James Madison,James Madison,James Madison,James Madison,James Madison,James Madison,James Madison Dukes,James Madison,132
Kansas Jayhawks,Kansas,2507,Kansas,Kansas 1,Kansas,Kansas,Kansas,Kansas,Kansas Jayhawks,Kansas,133
Kansas State Wildcats,Kansas St.,2311,Kansas St.,Kansas St. 9,Kansas St.,Kansas St.,Kansas State,Kansas State,Kansas St Wildcats,Kansas State,134
Kennesaw St Owls,Kennesaw St.,,Kennesaw St.,Kennesaw St.,Kennesaw St.,Kennesaw St.,Kennesaw State,Kennesaw State,Kennesaw St Owls,Kennesaw St.,135
Kent St Golden Flashes,Kent St.,,Kent St.,Kent St.,Kent St.,Kent St.,Kent State,Kent State,Kent State Golden Flashes,Kent St.,136
Kentucky Wildcats,Kentucky,,Kentucky,Kentucky 5,Kentucky,Kentucky,Kentucky,Kentucky,Kentucky Wildcats,Kentucky,137
La Salle Explorers,La Salle,,La Salle,La Salle,La Salle,La Salle,La Salle,La Salle,La Salle Explorers,La Salle,138
Lafayette Leopards,Lafayette,,Lafayette,Lafayette,Lafayette,Lafayette,Lafayette,Lafayette,Lafayette Leopards,Lafayette,139
Lamar Cardinals,Lamar,,Lamar,Lamar,Lamar,Lamar,Lamar,Lamar,Lamar Cardinals,Lamar,140
Lehigh Mountain Hawks,Lehigh,,Lehigh,Lehigh,Lehigh,Lehigh,Lehigh,Lehigh,Lehigh Mountain Hawks,Lehigh,141
Liberty Flames,Liberty,,Liberty,Liberty,Liberty,Liberty,Liberty,Liberty,Liberty Flames,Liberty,142
Lindenwood Lions,Lindenwood,,Lindenwood,Lindenwood,Lindenwood,Lindenwood,Lindenwood,Lindenwood,Lindenwood Lions,Lindenwood,143
Lipscomb Bisons,Lipscomb,,Lipscomb,Lipscomb 15,Lipscomb,Lipscomb,Lipscomb,Lipscomb,Lipscomb Bisons,Lipscomb,144
Little Rock Trojans,Little Rock,,Little Rock,Little Rock,Little Rock,Little Rock,Little Rock,Little Rock,Arkansas-Little Rock Trojans,Little Rock,145
LIU Sharks,LIU Brooklyn,,LIU,LIU Brooklyn 16,LIU,LIU,LIU,Long Island University,LIU Sharks,LIU Brooklyn,146
Long Beach St Beach,Long Beach St.,,Long Beach St.,Long Beach St.,Long Beach St.,Long Beach St.,Long Beach State,Long Beach State,Long Beach St 49ers,Long Beach St.,147
Longwood Lancers,Longwood,,Longwood,Longwood,Longwood,Longwood,Longwood,Longwood,Longwood Lancers,Longwood,148
UL Monroe Warhawks,Louisiana Monroe,,Louisiana Monroe,Louisiana Monroe,Louisiana Monroe,Louisiana Monroe,Louisiana-Monroe,Louisiana-Monroe,UL Monroe Warhawks,Louisiana Monroe,149
Louisiana State Tigers,LSU,,LSU,LSU,LSU,LSU,LSU,Louisiana State,LSU Tigers,LSU,150
Louisiana Tech Bulldogs,Louisiana Tech,,Louisiana Tech,Louisiana Tech,Louisiana Tech,Louisiana Tech,Louisiana Tech,Louisiana Tech,Louisiana Tech Bulldogs,Louisiana Tech,151
Louisville Cardinals,Louisville,2496,Louisville,Louisville,Louisville,Louisville,Louisville,Louisville,Louisville Cardinals,Louisville,152
Loyola Marymount Lions,Loyola Marymount,,Loyola Marymount,Loyola Marymount,Loyola Marymount,Loyola Marymount,Loyola Marymount,Loyola Marymount,Loyola Marymount Lions,Loyola Marymount,153
Loyola Chicago Ramblers,Loyola Chicago,,Loyola Chicago,Loyola Chicago 11,Loyola Chicago,Loyola Chicago,Loyola (IL),Loyola (IL),Loyola (Chi) Ramblers,Loyola Chicago,154
Loyola Md Greyhounds,Loyola MD,,Loyola MD,Loyola MD,Loyola MD,Loyola MD,Loyola (MD),Loyola (MD),Loyola (MD) Greyhounds,Loyola MD,155
Maine Black Bears,Maine,2185,Maine,Maine,Maine,Maine,Maine,Maine,Maine Black Bears,Maine,156
Manhattan Jaspers,Manhattan,,Manhattan,Manhattan,Manhattan,Manhattan,Manhattan,Manhattan,Manhattan Jaspers,Manhattan,157
Marist Red Foxes,Marist,,Marist,Marist,Marist,Marist,Marist,Marist,Marist Red Foxes,Marist,158
Marquette Golden Eagles,Marquette,2406,Marquette,Marquette,Marquette,Marquette,Marquette,Marquette,Marquette Golden Eagles,Marquette,159
Marshall Thundering Herd,Marshall,,Marshall,Marshall 13,Marshall,Marshall,Marshall,Marshall,Marshall Thundering Herd,Marshall,160
