Rank,Team,Conf,AdjEM,AdjO,AdjO_Rank,AdjD,AdjD_Rank,AdjT,AdjT_Rank,Final_Rank,Final_AdjEM,FinalAdjO,Final_AdjO_Rank,AR
195,Cornell,Ivy,-3.37,101.7,166,105.1,249,67.8,242,194,-3.37,101.7,165,105.0
196,Tulane,Amer,-3.52,96.0,282,99.5,129,66.8,285,198,-3.66,95.9,281,99.6
197,Rice,CUSA,-3.57,100.8,188,104.4,224,70.2,124,196,-3.56,100.8,185,104.4
198,Purdue Fort Wayne,Horz,-3.73,102.6,147,106.4,274,73.3,24,199,-3.72,102.5,149,106.3
199,Appalachian St.,SB,-3.81,101.2,180,105.0,246,66.4,300,200,-3.80,101.1,180,104.9
200,Nicholls St.,Slnd,-3.88,99.9,210,103.8,205,70.6,100,201,-3.91,99.8,211,103.7
201,UTSA,CUSA,-3.90,104.1,126,108.0,307,72.2,41,202,-3.91,104.0,127,107.9
202,Sam Houston St.,Slnd,-3.99,100.1,206,104.1,213,72.7,33,203,-4.00,100.0,207,104.0
203,Miami OH,MAC,-4.26,100.0,208,104.2,216,65.9,310,204,-4.26,99.9,208,104.1
204,FIU,CUSA,-4.39,102.3,152,106.7,283,71.9,53,205,-4.37,102.3,154,106.6
205,George Washington,A10,-4.57,102.2,157,106.8,286,70.4,113,206,-4.56,102.1,158,106.7
206,Gardner Webb,BSth,-4.65,100.4,200,105.0,247,69.3,162,207,-4.60,100.1,203,104.7
207,Morehead St.,OVC,-4.69,95.8,288,100.5,146,65.2,328,208,-4.70,95.7,288,100.4
208,UT Rio Grande Valley,WAC,-4.73,95.2,304,99.9,136,71.5,64,209,-4.73,95.1,303,99.8
209,Detroit,Horz,-4.80,102.2,158,107.0,290,68.4,219,210,-4.80,102.1,159,106.9
210,UNC Asheville,BSth,-4.84,101.1,182,105.9,262,70.5,108,211,-4.86,101.1,182,105.9
211,Northern Colorado,BSky,-4.92,98.0,243,103.0,186,68.3,220,212,-4.96,97.9,246,102.8
