Season,Team,Tempo,RankTempo,AdjT,RankAdjTempo,OE,RankOE,AdjO,RankAdjOE,DE,RankDE,AdjD,RankAdjDE,AdjEM,RankAdjEM
2023,George Washington,69.2875,133,68.9913,102,108.567,52,108.696,89,106.038,267,108.691,279,0.00475198,170
2023,Georgetown,69.7401,114,68.7232,113,101.58,189,104.411,165,111.145,331,108.734,281,-4.32304,226
2023,Georgia,68.3428,175,67.4986,177,104.072,143,106.511,116,96.3263,71,98.6621,80,7.84858,92
2023,Georgia Southern,66.0622,293,65.2739,288,99.1177,244,98.8427,280,101.531,157,103.442,166,-4.59891,230
2023,Georgia St.,67.0894,244,66.0224,256,94.8795,322,96.343,321,97.4429,88,101.123,116,-4.77984,232
2023,Georgia Tech,68.1951,185,67.3233,187,99.7436,227,102.731,200,103.577,214,101.735,126,0.996333,156
2023,Gonzaga,73.2988,15,70.8072,38,115.361,5,119.018,4,102.789,203,99.1779,89,19.8404,16
2023,Grambling St.,69.5375,120,68.7747,108,94.3843,327,96.7226,317,94.7472,37,101.051,112,-4.32858,227
2023,Grand Canyon,64.789,330,64.8179,301,105.296,114,108.207,92,99.1545,110,102.086,136,6.12027,106
2023,Green Bay,66.3738,283,65.7192,268,89.4453,354,91.3446,355,116.435,361,117.695,362,-26.3499,360
2023,Hampton,69.8757,108,68.7455,110,96.4189,303,97.7192,300,113.417,349,114.851,352,-17.1314,348
2023,Hartford,67.7235,214,66.4099,235,89.4938,352,89.0323,359,113.52,350,116.466,359,-27.4341,362
2023,Harvard,67.5278,220,65.6013,276,98.4454,256,99.7958,258,94.8977,42,98.9962,85,0.799659,158
2023,Hawaii,65.7206,304,65.3137,287,101.967,179,101.182,234,92.2095,22,96.8405,55,4.34159,120
2023,High Point,73.8597,11,73.2499,5,100.54,215,99.3759,270,106.031,266,108.59,275,-9.21443,283
2023,Hofstra,68.1242,189,67.5614,169,104.45,134,107.858,97,101.129,150,102.289,140,5.56916,112
2023,Holy Cross,67.8503,205,67.5439,171,92.8696,339,93.411,344,103.807,219,108.02,260,-14.6085,331
2023,Houston,64.8243,328,63.2554,344,117.67,1,117.834,7,82.2277,2,85.8425,2,31.9915,1
2023,Houston Christian,73.2592,17,70.3819,47,100.463,218,100.408,249,116.789,363,118.214,363,-17.8066,352
2023,Howard,71.0604,57,69.4973,67,96.9604,287,99.2426,272,104.354,228,106.278,227,-7.03507,253
2023,Idaho,67.0317,247,66.0855,248,104.84,122,103.234,188,109.814,321,113.514,346,-10.2799,298
2023,Idaho St.,66.8529,261,65.6288,272,99.362,234,99.4049,269,104.846,241,107.546,257,-8.14155,266
2023,Illinois,70.424,77,69.6367,65,107.155,76,111.689,46,91.688,18,94.6384,29,17.0509,29
2023,Illinois Chicago,69.3116,132,68.9231,103,95.0319,321,96.7374,315,102.998,206,106.692,237,-9.95468,295
2023,Illinois St.,65.7585,302,64.7779,304,98.4665,255,98.3793,289,102.569,192,106.558,234,-8.17824,267
2023,Incarnate Word,69.4366,125,67.3741,183,94.5299,325,93.9253,342,107.058,286,111.487,319,-17.5615,351
2023,Indiana,70.8542,64,69.1065,90,111.21,29,114.116,26,95.4282,49,95.9029,42,18.213,22
2023,Indiana St.,71.5571,46,71.4568,25,106.332,90,106.147,128,97.4271,87,102.593,147,3.55406,131
2023,Iona,70.0086,100,69.3017,79,108.72,49,109.329,80,95.6283,52,99.3288,91,9.99993,78
2023,Iowa,70.9717,60,69.9532,54,113.425,12,118.098,5,102.384,186,102.453,145,15.6456,37
2023,Iowa St.,66.1344,289,64.6943,307,105.91,99,109.976,70,88.2645,5,89.0766,7,20.8999,12
2023,IUPUI,67.8269,208,66.6699,223,90.8156,349,89.8102,357,114.064,354,116.544,360,-26.7342,361
2023,Jackson St.,72.2612,34,70.1895,52,92.1888,345,96.6905,318,107.126,287,108.062,262,-11.3711,311
2023,Jacksonville,61.8492,362,62.31,356,99.3611,235,101.218,231,103.783,218,102.321,141,-1.10243,190
2023,Jacksonville St.,65.3189,314,64.9963,297,98.053,265,99.6467,264,110.169,322,109.213,288,-9.56627,288
2023,James Madison,72.8875,22,70.8944,32,106.431,87,106.756,114,95.0339,44,99.1553,88,7.60094,96
2023,Kansas,69.8862,107,68.6085,118,107.767,67,114.774,20,94.7895,38,92.9289,19,21.8451,9
2023,Kansas St.,69.9365,104,69.1579,85,108.042,62,112.591,33,93.5165,30,94.9354,32,17.6555,26
2023,Kennesaw St.,69.0955,147,68.0658,142,103.636,149,104.697,158,103.541,213,103.868,175,0.828093,157
2023,Kent St.,69.6346,117,68.0498,144,105.22,116,106.022,131,90.9253,15,92.4189,16,13.6031,52
2023,Kentucky,67.4008,229,66.0811,249,111.801,22,114.403,25,98.6312,101,98.1105,66,16.2923,32
2023,La Salle,69.265,135,68.1969,139,97.437,280,99.2699,271,104.72,237,106.795,241,-7.52528,257
2023,Lafayette,63.0407,358,62.095,359,96.5218,300,97.2077,309,102.494,190,103.827,174,-6.6195,248
2023,Lamar,68.3013,176,66.799,215,93.8102,332,92.3339,351,112.583,341,115.888,356,-23.5537,358
2023,Lehigh,70.4213,78,70.4886,46,97.7321,275,97.4637,304,103.301,208,105.431,211,-7.96707,263
2023,Liberty,64.8243,329,62.9576,350,109.62,44,110.026,68,93.1915,28,96.7679,53,13.2576,57
2023,Lindenwood,69.435,126,67.5161,174,91.6658,346,92.6174,349,106.272,270,109.748,299,-17.1308,347
2023,Lipscomb,68.7762,156,69.2655,83,104.457,132,103.08,193,100.931,146,103.155,161,-0.0751751,172
2023,Little Rock,72.3855,30,69.8684,57,99.9547,225,98.6215,284,110.568,328,114.146,348,-15.5245,337
